日期	收盘	开盘	高	低	涨跌幅
2010年10月17日	2.34	2.34	2.34	2.34	0.43%
2010年10月10日	2.33	2.33	2.33	2.33	-0.85%
2010年10月3日	2.35	2.35	2.35	2.35	0.00%
2010年9月26日	2.35	2.35	2.35	2.35	-1.67%
2010年9月19日	2.39	2.39	2.39	2.39	2.58%
2010年9月12日	2.33	2.33	2.33	2.33	-0.64%
2010年9月5日	2.345	2.345	2.345	2.345	0.64%
2010年8月29日	2.33	2.33	2.33	2.33	0.00%
2010年8月22日	2.33	2.33	2.33	2.33	0.00%
2010年8月15日	2.33	2.33	2.33	2.33	2.19%
2010年8月8日	2.28	2.28	2.28	2.28	0.00%
2010年8月1日	2.28	2.28	2.28	2.28	0.00%
2010年7月25日	2.28	2.28	2.28	2.28	-1.72%
2010年7月18日	2.32	2.32	2.32	2.32	0.87%
2010年7月11日	2.3	2.3	2.3	2.3	-1.29%
2010年7月4日	2.33	2.33	2.33	2.33	-0.85%
2010年6月27日	2.35	2.35	2.35	2.35	-5.62%
2010年6月20日	2.49	2.49	2.49	2.49	4.62%
2010年6月13日	2.38	2.38	2.38	2.38	0.00%
2010年6月6日	2.38	2.38	2.38	2.38	-0.42%
2010年5月30日	2.39	2.39	2.39	2.39	3.91%
2010年5月23日	2.3	2.3	2.3	2.3	0.00%
2010年5月16日	2.3	2.3	2.3	2.3	1.32%
2010年5月9日	2.27	2.27	2.27	2.27	-1.30%
2010年5月2日	2.3	2.3	2.3	2.3	-5.85%
2010年4月25日	2.443	2.443	2.443	2.443	1.37%
2010年4月18日	2.41	2.41	2.41	2.41	1.26%
2010年4月11日	2.38	2.38	2.38	2.38	3.93%
2010年4月4日	2.29	2.29	2.29	2.29	0.00%
2010年3月28日	2.29	2.29	2.29	2.29	-4.18%
2010年3月21日	2.39	2.39	2.39	2.39	5.75%
2010年3月14日	2.26	2.26	2.26	2.26	-3.42%
2010年3月7日	2.34	2.34	2.34	2.34	-0.43%
2010年2月28日	2.35	2.35	2.35	2.35	-4.08%
2010年2月21日	2.45	2.45	2.45	2.45	-1.21%
2010年2月7日	2.48	2.48	2.48	2.48	1.22%
2010年1月31日	2.45	2.45	2.45	2.45	2.08%
2010年1月24日	2.4	2.4	2.4	2.4	0.00%
2010年1月17日	2.4	2.4	2.4	2.4	-4.76%
2010年1月10日	2.52	2.52	2.52	2.52	5.00%
2010年1月3日	2.4	2.4	2.4	2.4	0.00%
2009年12月27日	2.4	2.4	2.4	2.4	0.00%
2009年12月20日	2.4	2.4	2.4	2.4	0.00%
