日期	收盘	开盘	高	低	涨跌幅
2004年8月	3.876	3.832	3.932	3.809	-0.92%
2004年7月	3.912	3.832	3.912	3.779	9.80%
2004年6月	3.563	3.772	3.843	3.563	-5.01%
2004年5月	3.751	3.623	3.999	3.605	1.35%
2004年4月	3.701	3.051	3.837	3.051	24.82%
2004年3月	2.965	2.965	2.965	2.965	2.60%
2004年2月	2.89	2.95	3.02	2.68	3.07%
2004年1月	2.804	2.804	2.804	2.804	-1.54%
2003年12月	2.848	2.848	2.848	2.848	13.38%
2003年11月	2.512	2.512	2.512	2.512	-14.76%
2003年10月	2.947	2.947	2.947	2.947	25.40%
2003年9月	2.35	2.35	2.35	2.35	-2.00%
2003年8月	2.398	2.398	2.398	2.398	-0.29%
2003年7月	2.405	2.405	2.405	2.405	-0.95%
2003年6月	2.428	2.428	2.428	2.428	12.67%
2003年5月	2.155	2.155	2.155	2.155	-5.57%
2003年4月	2.282	2.282	2.282	2.282	-13.95%
2003年3月	2.652	2.652	2.652	2.652	12.76%
2003年2月	2.352	2.352	2.352	2.352	-0.47%
2003年1月	2.363	2.363	2.363	2.363	-3.24%
2002年12月	2.442	2.442	2.442	2.442	5.81%
2002年11月	2.308	2.308	2.308	2.308	-6.37%
2002年10月	2.465	2.465	2.465	2.465	4.10%
2002年9月	2.368	2.368	2.368	2.368	14.29%
2002年8月	2.072	2.072	2.072	2.072	2.93%
2002年7月	2.013	2.013	2.013	2.013	-13.31%
2002年4月	2.322	2.322	2.322	2.322	57.32%
2002年3月	1.476	1.476	1.476	1.476	0.00%
2002年2月	1.476	1.476	1.476	1.476	0.00%
2002年1月	1.476	1.476	1.476	1.476	-7.87%
2001年12月	1.602	1.602	1.602	1.602	-12.22%
2001年11月	1.825	1.825	1.825	1.825	-36.54%
2001年3月	2.876	2.876	2.876	2.876	-0.48%
2001年2月	2.89	2.89	2.89	2.89	1.83%
2001年1月	2.838	2.838	2.838	2.838	1.90%
2000年12月	2.785	2.785	2.785	2.785	-1.69%
2000年11月	2.833	2.833	2.833	2.833	79.19%
2000年10月	1.581	1.581	1.581	1.581	-7.76%
